freq,psd_x,psd_y,psd_z,psd_xyz,zv(30.2),mzv(28.6),ei(32.4),2hump_ei(39.0),3hump_ei(48.0)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.989,0.984,0.980,0.976,0.974
3.2,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.972,0.958,0.949,0.939,0.935
4.8,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.949,0.924,0.908,0.890,0.885
6.4,2.978e+00,3.222e+02,8.965e+00,3.342e+02,0.919,0.881,0.857,0.831,0.825
8.0,2.579e+00,4.656e+02,1.374e+01,4.820e+02,0.884,0.831,0.797,0.764,0.756
9.6,2.296e+00,3.406e+02,1.583e+01,3.587e+02,0.843,0.775,0.731,0.690,0.682
11.2,2.613e+00,3.324e+02,1.104e+01,3.461e+02,0.796,0.712,0.659,0.612,0.604
12.8,3.063e+00,4.813e+02,1.688e+01,5.012e+02,0.745,0.646,0.584,0.531,0.524
14.4,4.179e+00,6.883e+02,2.832e+01,7.207e+02,0.690,0.576,0.507,0.451,0.445
16.0,6.104e+00,1.019e+03,5.560e+01,1.080e+03,0.630,0.505,0.430,0.373,0.368
17.6,7.955e+00,1.300e+03,1.124e+02,1.420e+03,0.567,0.432,0.354,0.299,0.296
19.2,7.982e+00,1.104e+03,1.581e+02,1.270e+03,0.501,0.360,0.282,0.230,0.230
20.8,5.798e+00,6.727e+02,1.537e+02,8.322e+02,0.432,0.290,0.215,0.169,0.171
22.4,5.557e+00,5.283e+02,1.545e+02,6.884e+02,0.362,0.222,0.154,0.116,0.121
24.0,5.827e+00,5.639e+02,1.811e+02,7.508e+02,0.290,0.158,0.100,0.073,0.081
25.6,6.817e+00,6.508e+02,2.155e+02,8.731e+02,0.217,0.100,0.056,0.042,0.053
27.2,9.767e+00,8.255e+02,3.144e+02,1.150e+03,0.144,0.052,0.025,0.028,0.039
28.8,3.277e+01,1.121e+03,8.750e+02,2.029e+03,0.085,0.035,0.023,0.031,0.037
30.4,7.268e+01,1.181e+03,1.391e+03,2.645e+03,0.063,0.050,0.034,0.037,0.039
32.0,5.313e+01,8.991e+02,5.810e+02,1.533e+03,0.095,0.081,0.040,0.038,0.040
33.6,1.682e+01,4.408e+02,1.136e+02,5.712e+02,0.155,0.106,0.036,0.035,0.037
